Dates,Program,Mission,Artist,Song,Comment,Genre,Style,Year,Discogs Master,Discogs URI
1965-12-16,GEMINI,GEMINI 6,Jack Jones,Hello Dolly,"With new lyrics, and sent to crew NYT 2/7/68.",,,,,
1965-12-05,GEMINI,GEMINI 7,Unidentified,Time To Get Ready For Love,Actual date between 4 December and 6 December. New lines to the song. Sent to the crew.,Rock,Art Rock,2010.0,,https://www.discogs.com/Kodagain-Time-To-Get-Ready-For-Love/release/8258029
1965-12-06,GEMINI,GEMINI 7,Unidentified,Hawaiian Music,"broadcast to them at 1:34 p.m. Mission Commentary, Tape 112, page 1",,,,,https://www.discogs.com/artist/5597788-Hawaiian-Guitar-Music
1965-12-07,GEMINI,GEMINI 7,Beethoven,6th Symphony,"Mission Control planned to vary the crew's musical diet with upcoming selections scheduled to be: Beethoven's 6th Symphony, Les Sylphides by Chopin, Hungarian Rhapsody #2 by Lizst, and Madame Butterfly by Puccini. - Mission Commentary, Tape 141, page 1 Also that day: La Boheme  by Puccini, Symphony No. 3, the Reinich by Schumann, music by the Fantastics, Symphony No. 2  by Rachmaninoff, The Lawrence of Arabia Overture, and Water Music  by Handel. - Mission Commentary Tape 154, page 2",Classical,Classical,2005.0,https://api.discogs.com/masters/449637,https://www.discogs.com/Beethoven-Boston-Symphony-Orchestra-Charles-Munch-5th-Symphony-6th-Symphony-Pastoral/release/3665480
1965-12-07,GEMINI,GEMINI 7,Chopin,Les Sylphides,Ibid.,Classical,Classical,,,https://www.discogs.com/FR-Chopin-Les-Sylphides/release/13662308
1965-12-07,GEMINI,GEMINI 7,Lizst,Hungarian Rhapsody #2,Ibid.,,,,,
1965-12-07,GEMINI,GEMINI 7,Puccini,Madame Butterfly,Ibid.,Classical,Romantic,1966.0,https://api.discogs.com/masters/1216037,https://www.discogs.com/Giacomo-Puccini-Madame-Butterfly/master/1216037
1965-12-07,GEMINI,GEMINI 7,Puccini,La Boheme,Ibid.,Classical,,,,https://www.discogs.com/Giacomo-Puccini-La-Boheme-I-Teil-La-Boheme-II-Teil/release/14303956
1965-12-07,GEMINI,GEMINI 7,Schumann,"Symphony No. 3, The Reinich",Ibid.,,,,,
1965-12-07,GEMINI,GEMINI 7,The Fantastics,Unknown,Ibid.,,,,,
1965-12-07,GEMINI,GEMINI 7,Rachmaninoff,Symphony No. 2,Ibid.,Classical,,,,https://www.discogs.com/Sergei-Vasilyevich-Rachmaninoff-Symphony-No-2/release/7181214
1965-12-07,GEMINI,GEMINI 7,Maurice Jarre,The Lawrence Of Arabia Overture,Ibid.,,,,,
1965-12-07,GEMINI,GEMINI 7,Handel,Water Music,Ibid.,Classical,,1961.0,https://api.discogs.com/masters/1289240,https://www.discogs.com/Handel-Water-Music/release/7745142
1965-12-08,GEMINI,GEMINI 7,Unidentified,High Hopes,"Mission Commentary Tape 170, page 1",,,,,https://www.discogs.com/artist/4212934-High-Hopes
1965-12-08,GEMINI,GEMINI 7,Dvorak,The Last Two Movements From Symphony Five From The New World,"Classical music chosen for the crew included: The Last Two Movements From Symphony Five from The New World presumably by Dvorak, Perpetual Motion Opus Number 257  by Johann Strauss, and Air on the G String  by Johann Sebastian Bach performed by the Philadelphia orchestra. - Mission Commentary Tape 172, page 8",,,,,
1965-12-08,GEMINI,GEMINI 7,Johann Strauss II,Perpetual Motion,Ibid.,,,,,
1965-12-08,GEMINI,GEMINI 7,Johann Sebastian Bach,Air On The G String,Ibid.,Classical,Romantic,,,https://www.discogs.com/Isolde-Menges-Johann-Sebastian-Bach-Eileen-Beattie-Fr%C3%A9d%C3%A9ric-Chopin-Air-On-The-G-String-Nocturne-In/release/12445656
1965-12-09,GEMINI,GEMINI 7,Trini Lopez,What'D I Say,"from Trini Lopez at P.J.s. sent to crew, a favorite of Jim Lovell's - Mission Commentary, Tape 215, page 2",Rock,Pop Rock,1964.0,,https://www.discogs.com/Trini-Lopez-Oh-Lonesome-Me-Whatd-I-Say/release/5321818
1965-12-09,GEMINI,GEMINI 7,Unidentified,I Saw Mommie Kissing Santa Claus,"relayed from Tananarive station for Jim Lovell. A request from his daughter, Barbara, age 12 who hopes the song will bring her daddy home for Christmas, a little early.-  Mission Commentary, Tape 223, page 2",Children's,Nursery Rhymes,,,https://www.discogs.com/Unknown-Artist-I-Saw-Mommie-Kissing-Santa-Clause-White-Christmas-Rudolph-The-Red-Nosed-Reindeer-Jack/release/1892476
1965-12-11,GEMINI,GEMINI 7,Louis Armstrong,"Hey, Look Me Over","Mission Commentary Tape 280, page 1",Jazz,Smooth Jazz,1965.0,https://api.discogs.com/masters/1243354,https://www.discogs.com/Louis-Armstrong-Hey-Look-Me-Over-Someday/release/9811512
1965-12-18,GEMINI,GEMINI 7,Unidentified,I'Ll Be Home For Christmas,"Sent to the crew just before retrofire. - Mission Commentary Tape 610, page 1",Pop,Ballad,2009.0,,https://www.discogs.com/Katharine-McPhee-Ill-Be-Home-For-Christmas/release/12268416
1965-12-18,GEMINI,GEMINI 7,Dean Martin,Houston,Ibid.,Jazz,Vocal,,https://api.discogs.com/masters/1349741,https://www.discogs.com/Dean-Martin-Houston/master/1349741
1966-06-04,GEMINI,GEMINI 9,Tijuana Brass,The Lonely Bull,"From The Last Man on the Moon. Copyright 1999 by Eugene Cernan and Don Davis. St. Martin's Press,  LLC, New York, NY., p.124.",Jazz,Easy Listening,1962.0,https://api.discogs.com/masters/432788,https://www.discogs.com/Herb-Alpert-The-Tijuana-Brass-The-Lonely-Bull/master/432788
1966-06-06,GEMINI,GEMINI 9,Glinka,Russian Overture,"Mission Commentary Tape 187, page 1 We have had a change of pace in the music being piped in on one of the inactive (sic) loops here in Mission Control. Run the gamut of the four B's of music, Bach, Beethoven, Brahms and Brass, Tijuana Brass that is. - Mission Commentary Tape 189, page 1",Classical,Romantic,1960.0,https://api.discogs.com/masters/888859,https://www.discogs.com/Tchaikovsky-Rimsky-Korsakov-Glinka-Moussorgsky-Artur-RodzinzkiRoyal-Philharmonic-Orchestra-Russian-O/release/8116916
1966-06-06,GEMINI,GEMINI 9,Glinka,Ludmilla Overture,Ibid.,Classical,Romantic,,https://api.discogs.com/masters/658835,https://www.discogs.com/Rimsky-Korsakov-Glinka-Loris-TjeknavorianLondon-Symphony-Orchestra-Scheherazade-Russlan-And-Ludmilla/release/10527842
1966-06-06,GEMINI,GEMINI 9,Johann Sebastian Bach,Unknown,Ibid.,,,,,
1966-11-14,GEMINI,GEMINI 12,Julie Andrews,My Favorite Things,"Mission Commentary Tape 240, page 2 to Mission Commentary Tape 242, page 1",Stage & Screen,Musical,1966.0,,https://www.discogs.com/Julie-Andrews-Christopher-Plummer-Edelweiss-My-Favorite-Things/release/1465232
1966-11-14,GEMINI,GEMINI 12,Dean Martin,Houston,"Mission Commentary Tape 248, page 1 - Mission Commentary Tape 249, page 1",Jazz,Vocal,,https://api.discogs.com/masters/1349741,https://www.discogs.com/Dean-Martin-Houston/master/1349741
